"The following return values of SSL_connect_APIName can occur, 0, 1, <0",null,"The following return values of SSL_connect_APIName can occur, 0, 1, <0",SSL_connect_APIName initiates the TLS/SSL handshake with a server. The communication channel must already have been set and assigned to the ssl by setting an underlying BIO.
"The ` actual load ' is the average number of items per ` bucket ' , but only for buckets which contain entries",null,"The 'actual load' is the average number of items per 'bucket', but only for buckets which contain entries","lh_node_usage_stats_APIName prints out a short summary of the state of the hash table. It prints the 'load' and the 'actual load'. The load is the average number of data items per 'bucket' in the hash table. The 'actual load' is the average number of items per 'bucket', but only for buckets which contain entries. So the 'actual load' is the average number of searches that will need to find an item in the hash table, while the 'load' is the average number that will be done to record a miss."
It also calls the free_APINameing procedures for indirectly affected items,if applicable,"It also calls the free_APINameing procedures for indirectly affected items, if applicable: the session cache, the list of ciphers, the list of Client CAs, the certificates and keys","It also calls the free_APINameing procedures for indirectly affected items, if applicable: the session cache, the list of ciphers, the list of Client CAs, the certificates and keys."
the SSL_CTX object pointed to by SSL_CTX_free_APIParam_1 and frees up the allocated memory,if the the reference count has reached 0,"SSL_CTX_free_APIName decrements the reference count of SSL_CTX_free_APIParam_1, and removes the SSL_CTX object pointed to by SSL_CTX_free_APIParam_1 and frees up the allocated memory if the the reference count has reached 0","SSL_CTX_free_APIName decrements the reference count of SSL_CTX_free_APIParam_1, and removes the SSL_CTX object pointed to by SSL_CTX_free_APIParam_1 and frees up the allocated memory if the the reference count has reached 0."
"SSL_CTX_free_APIName decrements the reference count of SSL_CTX_free_APIParam_1 , and removes",null,"SSL_CTX_free_APIName decrements the reference count of SSL_CTX_free_APIParam_1, and removes the SSL_CTX object pointed to by SSL_CTX_free_APIParam_1 and frees up the allocated memory if the the reference count has reached 0","SSL_CTX_free_APIName decrements the reference count of SSL_CTX_free_APIParam_1, and removes the SSL_CTX object pointed to by SSL_CTX_free_APIParam_1 and frees up the allocated memory if the the reference count has reached 0."
On failure an error code can be obtained from ERR_get_error_APIName,null,On failure an error code can be obtained from ERR_get_error_APIName,On failure an error code can be obtained from ERR_get_error_APIName .
i2d_CMS_bio_stream_APIName outputs a CMS_ContentInfo structure in BER format,null,i2d_CMS_bio_stream_APIName outputs a CMS_ContentInfo structure in BER format,i2d_CMS_bio_stream_APIName outputs a CMS_ContentInfo structure in BER format.
This is mostly a legacy of Eric Young writing this library for the reasons of implementing what looked like a nice algorithm rather than for a particular software product,null,This is mostly a legacy of Eric Young writing this library for the reasons of implementing what looked like a nice algorithm rather than for a particular software product,The lh_stats_bio_APIParam_1 lh_stats_APIParam_1 lh_node_stats_bio_APIParam_1 lh_node_stats_APIParam_1 lh_node_usage_stats_APIParam_1 lh_node_usage_stats_bio_APIParam_1 structure records statistics about most aspects of accessing the hash table. This is mostly a legacy of Eric Young writing this library for the reasons of implementing what looked like a nice algorithm rather than for a particular software product.
"lh_stats_bio_APIName , lh_node_stats_bio_APIName and lh_node_usage_stats_bio_APIName are the same as the above , except that the output goes to a lh_stats_bio_APIParam_2 lh_node_stats_bio_APIParam_2 lh_node_usage_stats_bio_APIParam_2",null,"lh_stats_bio_APIName, lh_node_stats_bio_APIName and lh_node_usage_stats_bio_APIName are the same as the above, except that the output goes to a lh_stats_bio_APIParam_2 lh_node_stats_bio_APIParam_2 lh_node_usage_stats_bio_APIParam_2","lh_stats_bio_APIName, lh_node_stats_bio_APIName and lh_node_usage_stats_bio_APIName are the same as the above, except that the output goes to a lh_stats_bio_APIParam_2 lh_node_stats_bio_APIParam_2 lh_node_usage_stats_bio_APIParam_2."
These functions are used internally by OpenSSL to manipulate application specific data attached to a specific structure,null,These functions are used internally by OpenSSL to manipulate application specific data attached to a specific structure,Several OpenSSL structures can have application specific data attached to Several OpenSSL structures. These functions are used internally by OpenSSL to manipulate application specific data attached to a specific structure.
It is otherwise identical to the function SMIME_write_CMS_APIName,null,It is otherwise identical to the function SMIME_write_CMS_APIName,It is otherwise identical to the function SMIME_write_CMS_APIName.
"lh_stats_APIName prints out statistics on the size of the hash table , how many entries are in it , and the number and result of calls to the routines in this library",null,"lh_stats_APIName prints out statistics on the size of the hash table, how many entries are in it, and the number and result of calls to the routines in this library","lh_stats_APIName prints out statistics on the size of the hash table, how many entries are in it, and the number and result of calls to the routines in this library."
"the session cache , the list of ciphers , the list of Client CAs , the certificates and keys",null,"It also calls the free_APINameing procedures for indirectly affected items, if applicable: the session cache, the list of ciphers, the list of Client CAs, the certificates and keys","It also calls the free_APINameing procedures for indirectly affected items, if applicable: the session cache, the list of ciphers, the list of Client CAs, the certificates and keys."
This function is effectively a version of the i2d_CMS_bio_APIName supporting streaming,null,This function is effectively a version of the i2d_CMS_bio_APIName supporting streaming,This function is effectively a version of the i2d_CMS_bio_APIName supporting streaming.
The prefix `` i2d '' is arguably wrong,null,The prefix `` i2d '' is arguably wrong ,"The prefix ""i2d"" is arguably wrong because the function outputs BER format."
i2d_CMS_bio_stream_APIName returns 1 for success or 0 for failure,null,i2d_CMS_bio_stream_APIName returns 1 for success or 0 for failure,i2d_CMS_bio_stream_APIName returns 1 for success or 0 for failure.
"This library implements the Blowfish cipher , which was invented and described by Counterpane",null,"This library implements the Blowfish cipher, which was invented and described by Counterpane (see http://www.counterpane.com/blowfish.html )","This library implements the Blowfish cipher, which was invented and described by Counterpane (see http://www.counterpane.com/blowfish.html )."
Blowfish is a block cipher that operates on 64 bit blocks of data,null,Blowfish is a block cipher that operates on 64 bit (8 byte) blocks of data,"Blowfish is a block cipher that operates on 64 bit (8 byte) blocks of data. It uses a variable size key, but typically, 128 bit (16 byte) keys are considered good for strong encryption. Blowfish can be used in the same modes as DES (see des_modes_APIName ). Blowfish is currently one of the faster block ciphers. It is quite a bit faster than DES, and much faster than IDEA or RC2."
Blowfish can be used in the same modes as DES,null,Blowfish can be used in the same modes as DES (see des_modes_APIName ),"Blowfish is a block cipher that operates on 64 bit (8 byte) blocks of data. It uses a variable size key, but typically, 128 bit (16 byte) keys are considered good for strong encryption. Blowfish can be used in the same modes as DES (see des_modes_APIName ). Blowfish is currently one of the faster block ciphers. It is quite a bit faster than DES, and much faster than IDEA or RC2."
Blowfish is currently one of the faster block ciphers,null,Blowfish is currently one of the faster block ciphers,"Blowfish is a block cipher that operates on 64 bit (8 byte) blocks of data. It uses a variable size key, but typically, 128 bit (16 byte) keys are considered good for strong encryption. Blowfish can be used in the same modes as DES (see des_modes_APIName ). Blowfish is currently one of the faster block ciphers. It is quite a bit faster than DES, and much faster than IDEA or RC2."
"It uses a variable size key , but typically , 128 bit keys are considered good for strong encryption",null,"It uses a variable size key, but typically, 128 bit (16 byte) keys are considered good for strong encryption","Blowfish is a block cipher that operates on 64 bit (8 byte) blocks of data. It uses a variable size key, but typically, 128 bit (16 byte) keys are considered good for strong encryption. Blowfish can be used in the same modes as DES (see des_modes_APIName ). Blowfish is currently one of the faster block ciphers. It is quite a bit faster than DES, and much faster than IDEA or RC2."
"It is quite a bit faster than DES , and much faster than IDEA or RC2",null,"It is quite a bit faster than DES, and much faster than IDEA or RC2","Blowfish is a block cipher that operates on 64 bit (8 byte) blocks of data. It uses a variable size key, but typically, 128 bit (16 byte) keys are considered good for strong encryption. Blowfish can be used in the same modes as DES (see des_modes_APIName ). Blowfish is currently one of the faster block ciphers. It is quite a bit faster than DES, and much faster than IDEA or RC2."
Blowfish consists of a key setup phase and the actual encryption or decryption phase,null,Blowfish consists of a key setup phase and the actual encryption or decryption phase,Blowfish consists of a key setup phase and the actual encryption or decryption phase.
BF_set_key_APIName sets up the BF_set_key_APIParam_1 BF_set_key_APIParam_1 using the BF_set_key_APIParam_2 bytes long key at BF_set_key_APIParam_3,null,BF_set_key_APIName sets up the BF_set_key_APIParam_1 BF_set_key_APIParam_1 using the BF_set_key_APIParam_2 bytes long key at BF_set_key_APIParam_3,BF_set_key_APIName sets up the BF_set_key_APIParam_1 BF_set_key_APIParam_1 using the BF_set_key_APIParam_2 bytes long key at BF_set_key_APIParam_3.
BF_ofb64_encrypt_APIName is the OFB mode for Blowfish with 64 bit feedback,null,BF_ofb64_encrypt_APIName is the OFB mode for Blowfish with 64 bit feedback,"BF_ofb64_encrypt_APIName is the OFB mode for Blowfish with 64 bit feedback. It uses the same parameters as BF_cfb64_encrypt_APIName, which must be initialized the same way."
"It uses the same parameters as BF_cfb64_encrypt_APIName , which must be initialized the same way",null,"It uses the same parameters as BF_cfb64_encrypt_APIName, which must be initialized the same way","BF_ofb64_encrypt_APIName is the OFB mode for Blowfish with 64 bit feedback. It uses the same parameters as BF_cfb64_encrypt_APIName, which must be initialized the same way."
BF_encrypt_APIName and BF_decrypt_APIName are the lowest level functions for Blowfish encryption,null,BF_encrypt_APIName and BF_decrypt_APIName are the lowest level functions for Blowfish encryption,"BF_encrypt_APIName and BF_decrypt_APIName are the lowest level functions for Blowfish encryption. They encrypt/decrypt the first 64 bits of the vector pointed by BF_encrypt_APIParam_1 BF_decrypt_APIParam_1, using the key BF_encrypt_APIParam_2 BF_decrypt_APIParam_2. These functions should not be used unless you implement 'modes' of Blowfish. The alternative is to use BF_ecb_encrypt_APIName. If you still want to use these functions, you should be aware that they take each 32-bit chunk in host-byte order, which is little-endian on little-endian platforms and big-endian on big-endian ones."
These functions should not be used unless you implement ` modes ' of Blowfish,null,These functions should not be used unless you implement 'modes' of Blowfish,"BF_encrypt_APIName and BF_decrypt_APIName are the lowest level functions for Blowfish encryption. They encrypt/decrypt the first 64 bits of the vector pointed by BF_encrypt_APIParam_1 BF_decrypt_APIParam_1, using the key BF_encrypt_APIParam_2 BF_decrypt_APIParam_2. These functions should not be used unless you implement 'modes' of Blowfish. The alternative is to use BF_ecb_encrypt_APIName. If you still want to use these functions, you should be aware that they take each 32-bit chunk in host-byte order, which is little-endian on little-endian platforms and big-endian on big-endian ones."
The alternative is to use BF_ecb_encrypt_APIName,null,The alternative is to use BF_ecb_encrypt_APIName,"BF_encrypt_APIName and BF_decrypt_APIName are the lowest level functions for Blowfish encryption. They encrypt/decrypt the first 64 bits of the vector pointed by BF_encrypt_APIParam_1 BF_decrypt_APIParam_1, using the key BF_encrypt_APIParam_2 BF_decrypt_APIParam_2. These functions should not be used unless you implement 'modes' of Blowfish. The alternative is to use BF_ecb_encrypt_APIName. If you still want to use these functions, you should be aware that they take each 32-bit chunk in host-byte order, which is little-endian on little-endian platforms and big-endian on big-endian ones."
None of the functions presented here return any value,null,None of the functions presented here return any value,None of the functions presented here return any value.
"They encrypt/decrypt the first 64 bits of the vector pointed by BF_encrypt_APIParam_1 BF_decrypt_APIParam_1 , using the key BF_encrypt_APIParam_2 BF_decrypt_APIParam_2",null,"They encrypt/decrypt the first 64 bits of the vector pointed by BF_encrypt_APIParam_1 BF_decrypt_APIParam_1, using the key BF_encrypt_APIParam_2 BF_decrypt_APIParam_2","BF_encrypt_APIName and BF_decrypt_APIName are the lowest level functions for Blowfish encryption. They encrypt/decrypt the first 64 bits of the vector pointed by BF_encrypt_APIParam_1 BF_decrypt_APIParam_1, using the key BF_encrypt_APIParam_2 BF_decrypt_APIParam_2. These functions should not be used unless you implement 'modes' of Blowfish. The alternative is to use BF_ecb_encrypt_APIName. If you still want to use these functions, you should be aware that they take each 32-bit chunk in host-byte order, which is little-endian on little-endian platforms and big-endian on big-endian ones."
Applications should use the higher level functions EVP_EncryptInit_APIName etc instead of calling the blowfish functions directly,null,Applications should use the higher level functions EVP_EncryptInit_APIName etc instead of calling the blowfish functions directly,Applications should use the higher level functions EVP_EncryptInit_APIName etc instead of calling the blowfish functions directly.
Naturally it 's meaningful on x86 and x86_64 platforms only,null,Naturally it's meaningful on x86 and x86_64 platforms only,"Value returned by OPENSSL_ia32cap_loc_APIName is address of a variable containing IA-32 processor capabilities bit vector as it appears in EDX:ECX register pair after executing CPUID instruction with EAX=1 input value (see Intel Application Note #241618). Naturally it's meaningful on x86 and x86_64 platforms only. The variable is normally set up automatically upon toolkit initialization, but can be manipulated afterwards to modify crypto library behaviour. For the moment of this writing following bits are significant:"
For the moment of this writing following bits are significant,null,For the moment of this writing following bits are significant:,"Value returned by OPENSSL_ia32cap_loc_APIName is address of a variable containing IA-32 processor capabilities bit vector as it appears in EDX:ECX register pair after executing CPUID instruction with EAX=1 input value (see Intel Application Note #241618). Naturally it's meaningful on x86 and x86_64 platforms only. The variable is normally set up automatically upon toolkit initialization, but can be manipulated afterwards to modify crypto library behaviour. For the moment of this writing following bits are significant:"
will need to find an item in the hash table,while the ` load ' is the average number that will be done to record a miss,"So the 'actual load' is the average number of searches that will need to find an item in the hash table, while the 'load' is the average number that will be done to record a miss","lh_node_usage_stats_APIName prints out a short summary of the state of the hash table. It prints the 'load' and the 'actual load'. The load is the average number of data items per 'bucket' in the hash table. The 'actual load' is the average number of items per 'bucket', but only for buckets which contain entries. So the 'actual load' is the average number of searches that will need to find an item in the hash table, while the 'load' is the average number that will be done to record a miss."
So the ` actual load ' is the average number of searches that,null,"So the 'actual load' is the average number of searches that will need to find an item in the hash table, while the 'load' is the average number that will be done to record a miss","lh_node_usage_stats_APIName prints out a short summary of the state of the hash table. It prints the 'load' and the 'actual load'. The load is the average number of data items per 'bucket' in the hash table. The 'actual load' is the average number of items per 'bucket', but only for buckets which contain entries. So the 'actual load' is the average number of searches that will need to find an item in the hash table, while the 'load' is the average number that will be done to record a miss."
Alternatively you can reconfigure the toolkit with no-sse2 option and recompile,null,Alternatively you can reconfigure the toolkit with no-sse2 option and recompile,"For example, clearing bit #26 at run-time disables high-performance SSE2 code present in the crypto library, while clearing bit #24 disables SSE2 code operating on 128-bit XMM register bank. You might have to do the latter if target OpenSSL application is executed on SSE2 capable CPU, but under control of OS that does not enable XMM registers. Even though you can manipulate the value programmatically, you most likely will find the value more appropriate to set up an environment variable with the same name prior starting target application, eg on Intel P4 processor 'env OPENSSL_ia32cap=0x16980010 apps/openssl', or better yet 'env OPENSSL_ia32cap=~0x1000000 apps/openssl' to achieve same effect without modifying the application source code. Alternatively you can reconfigure the toolkit with no-sse2 option and recompile."
"The variable is normally set up automatically upon toolkit initialization , but can be manipulated afterwards to modify crypto library behaviour",null,"The variable is normally set up automatically upon toolkit initialization, but can be manipulated afterwards to modify crypto library behaviour","Value returned by OPENSSL_ia32cap_loc_APIName is address of a variable containing IA-32 processor capabilities bit vector as it appears in EDX:ECX register pair after executing CPUID instruction with EAX=1 input value (see Intel Application Note #241618). Naturally it's meaningful on x86 and x86_64 platforms only. The variable is normally set up automatically upon toolkit initialization, but can be manipulated afterwards to modify crypto library behaviour. For the moment of this writing following bits are significant:"
Less intuitive is clearing bit # 28,null,Less intuitive is clearing bit #28,"Less intuitive is clearing bit #28. The truth is that it's not copied from CPUID output verbatim, but is adjusted to reflect whether or not the data cache is actually shared between logical cores. This in turn affects the decision on whether or not expensive countermeasures against cache-timing attacks are applied, most notably in AES assembler module."
Value returned by OPENSSL_ia32cap_loc_APIName is address of a variable containing IA-32 processor capabilities bit vector as it appears in EDX,null,Value returned by OPENSSL_ia32cap_loc_APIName is address of a variable containing IA-32 processor capabilities bit vector as it appears in EDX:ECX register pair after executing CPUID instruction with EAX=1 input value (see Intel Application Note #241618),"Value returned by OPENSSL_ia32cap_loc_APIName is address of a variable containing IA-32 processor capabilities bit vector as it appears in EDX:ECX register pair after executing CPUID instruction with EAX=1 input value (see Intel Application Note #241618). Naturally it's meaningful on x86 and x86_64 platforms only. The variable is normally set up automatically upon toolkit initialization, but can be manipulated afterwards to modify crypto library behaviour. For the moment of this writing following bits are significant:"
ECX register pair after executing CPUID instruction with EAX = 1 input value,null,Value returned by OPENSSL_ia32cap_loc_APIName is address of a variable containing IA-32 processor capabilities bit vector as it appears in EDX:ECX register pair after executing CPUID instruction with EAX=1 input value (see Intel Application Note #241618),"Value returned by OPENSSL_ia32cap_loc_APIName is address of a variable containing IA-32 processor capabilities bit vector as it appears in EDX:ECX register pair after executing CPUID instruction with EAX=1 input value (see Intel Application Note #241618). Naturally it's meaningful on x86 and x86_64 platforms only. The variable is normally set up automatically upon toolkit initialization, but can be manipulated afterwards to modify crypto library behaviour. For the moment of this writing following bits are significant:"
Following bits are significant,null,Following bits are significant:,The vector is further extended with EBX value returned by CPUID with EAX=7 and ECX=0 as input. Following bits are significant:
"BN_mod_inverse_APIName returns the BN_mod_inverse_APIParam_1 containing the inverse, and NULL on error",null,"BN_mod_inverse_APIName returns the BN_mod_inverse_APIParam_1 containing the inverse, and NULL on error","BN_mod_inverse_APIName returns the BN_mod_inverse_APIParam_1 containing the inverse, and NULL on error. The error codes can be obtained by ERR_get_error_APIName ."
The vector is further extended with EBX value returned by CPUID with EAX=7 and ECX=0 as input,null,The vector is further extended with EBX value returned by CPUID with EAX=7 and ECX=0 as input,The vector is further extended with EBX value returned by CPUID with EAX=7 and ECX=0 as input. Following bits are significant:
The error codes can be obtained by ERR_get_error_APIName,null,The error codes can be obtained by ERR_get_error_APIName,"BN_mod_inverse_APIName returns the BN_mod_inverse_APIParam_1 containing the inverse, and NULL on error. The error codes can be obtained by ERR_get_error_APIName ."
"This in turn affects the decision on , most notably in AES assembler module",null,"This in turn affects the decision on  , most notably in AES assembler module","Less intuitive is clearing bit #28. The truth is that it's not copied from CPUID output verbatim, but is adjusted to reflect whether or not the data cache is actually shared between logical cores. This in turn affects the decision on whether or not expensive countermeasures against cache-timing attacks are applied, most notably in AES assembler module."
RIPEMD-160 is a cryptographic hash function with a 160 bit output,null,RIPEMD-160 is a cryptographic hash function with a 160 bit output,RIPEMD-160 is a cryptographic hash function with a 160 bit output.
"you should be aware that they take each 32-bit chunk in host-byte order , which is little-endian on little-endian platforms and big-endian on big-endian ones",If you still want to use these functions,"If you still want to use these functions, you should be aware that they take each 32-bit chunk in host-byte order, which is little-endian on little-endian platforms and big-endian on big-endian ones","BF_encrypt_APIName and BF_decrypt_APIName are the lowest level functions for Blowfish encryption. They encrypt/decrypt the first 64 bits of the vector pointed by BF_encrypt_APIParam_1 BF_decrypt_APIParam_1, using the key BF_encrypt_APIParam_2 BF_decrypt_APIParam_2. These functions should not be used unless you implement 'modes' of Blowfish. The alternative is to use BF_ecb_encrypt_APIName. If you still want to use these functions, you should be aware that they take each 32-bit chunk in host-byte order, which is little-endian on little-endian platforms and big-endian on big-endian ones."
"The truth is that it is not copied from CPUID output verbatim , but is adjusted to reflect",null,"The truth is that it is not copied from CPUID output verbatim , but is adjusted to reflect ","Less intuitive is clearing bit #28. The truth is that it's not copied from CPUID output verbatim, but is adjusted to reflect whether or not the data cache is actually shared between logical cores. This in turn affects the decision on whether or not expensive countermeasures against cache-timing attacks are applied, most notably in AES assembler module."
RIPEMD160_APIName computes the RIPEMD-160 message digest of the RIPEMD160_APIParam_2 bytes at RIPEMD160_APIParam_1 and places it in RIPEMD160_Final_APIParam_1,null,RIPEMD160_APIName computes the RIPEMD-160 message digest of the RIPEMD160_APIParam_2 bytes at RIPEMD160_APIParam_1 and places it in RIPEMD160_Final_APIParam_1 (which must have space for RIPEMD160_DIGEST_LENGTH == 20 bytes of output),"RIPEMD160_APIName computes the RIPEMD-160 message digest of the RIPEMD160_APIParam_2 bytes at RIPEMD160_APIParam_1 and places it in RIPEMD160_Final_APIParam_1 (which must have space for RIPEMD160_DIGEST_LENGTH == 20 bytes of output). If RIPEMD160_Final_APIParam_1 is NULL, the digest is placed in a static array."
RIPEMD160_Init_APIName initializes a RIPEMD160_Init_APIParam_1 structure,null,RIPEMD160_Init_APIName initializes a RIPEMD160_Init_APIParam_1 structure,RIPEMD160_Init_APIName initializes a RIPEMD160_Init_APIParam_1 structure.
"You might have to do the latter , but under control of OS that does not enable XMM registers",if target OpenSSL application is executed on SSE2 capable CPU,"You might have to do the latter if target OpenSSL application is executed on SSE2 capable CPU, but under control of OS that does not enable XMM registers","For example, clearing bit #26 at run-time disables high-performance SSE2 code present in the crypto library, while clearing bit #24 disables SSE2 code operating on 128-bit XMM register bank. You might have to do the latter if target OpenSSL application is executed on SSE2 capable CPU, but under control of OS that does not enable XMM registers. Even though you can manipulate the value programmatically, you most likely will find the value more appropriate to set up an environment variable with the same name prior starting target application, eg on Intel P4 processor 'env OPENSSL_ia32cap=0x16980010 apps/openssl', or better yet 'env OPENSSL_ia32cap=~0x1000000 apps/openssl' to achieve same effect without modifying the application source code. Alternatively you can reconfigure the toolkit with no-sse2 option and recompile."
RIPEMD160_APIName returns a pointer to the hash value,null,RIPEMD160_APIName returns a pointer to the hash value,RIPEMD160_APIName returns a pointer to the hash value.
Applications should use the higher level functions EVP_DigestInit_APIName etc instead of calling the hash functions directly,null,Applications should use the higher level functions EVP_DigestInit_APIName etc instead of calling the hash functions directly,Applications should use the higher level functions EVP_DigestInit_APIName etc instead of calling the hash functions directly.
"RIPEMD160_Init_APIName, RIPEMD160_Update_APIName and RIPEMD160_Final_APIName return 1 for success, 0 otherwise",null,"RIPEMD160_Init_APIName, RIPEMD160_Update_APIName and RIPEMD160_Final_APIName return 1 for success, 0 otherwise","RIPEMD160_Init_APIName, RIPEMD160_Update_APIName and RIPEMD160_Final_APIName return 1 for success, 0 otherwise."
