label,old-label,prop,wrong,,cond,sent,paraph
8,8,Do not use the SSLv3 protocol,,0,null,Do not use the SSLv3 protocol.,Do not use the SSLv3 protocol. the SSLv3 protocol is recommended that applications should set this option.
8,8,Do not use the TLSv1 .1 protocol,,0,null,Do not use the TLSv1.1 protocol.,Do not use the TLSv1.1 protocol.
8,8,At first the library must be initialized,,,null,At first the library must be initialized; see SSL_library_init_APIName .,At first the library must be initialized; see SSL_library_init_APIName .
8,4,it will never succeed !,,,If the application waits for data to be available on the underlying transport before flushing the write buffer,"If the application then waits for data to be available on the underlying transport before flushing the write buffer , it will never succeed  !","To see why this is important consider a case where a request is sent using BIO_write_APIName and a response read with BIO_read_APIName, this can occur during an TLS/SSL handshake for example. BIO_write_APIName will succeed and place data in the write buffer. BIO_read_APIName will initially fail and BIO_should_read_APIName will be true. If the application then waits for data to be available on the underlying transport before flushing the write buffer ,it will never succeed because the request was never sent!"
8,-1,"for any cryptographic algorithm required by OpenSSL, it should be used",,,if there is an ENGINE that implements it and can be initialised,"Here we'll assume we want to load and register all ENGINE implementations bundled with OpenSSL, such that for any cryptographic algorithm required by OpenSSL - if there is an ENGINE that implements it and can be initialised, it should be used.","Here we'll assume we want to load and register all ENGINE implementations bundled with OpenSSL, such that for any cryptographic algorithm required by OpenSSL - if there is an ENGINE that implements it and can be initialised, it should be used. The following code illustrates how this can work;"
8,8,"the SSL/TLS engine must parse the record , consisting of header and body",,,When performing a read operation,"When performing a read operation, the SSL/TLS engine must parse the record, consisting of header and body.","When performing a read operation, the SSL/TLS engine must parse the record, consisting of header and body. When working in a blocking environment, SSL_rstate_string[_long]_APIName should always return ""RD""/""read done""."
8,8,the random number generator must be seeded or the operation will fail.,,,When signing with DSA private keys,When signing with DSA private keys the random number generator must be seeded or the operation will fail.,When signing with DSA private keys the random number generator must be seeded or the operation will fail. The random number generator does not need to be seeded for RSA signatures.
8,-1,this is no longer possible,,,null,this is no longer possible : the equivalent is EVP_PKEY_base_id .,Previous versions of this document suggested using EVP_PKEY_type(pkey->type) to determine the type of a key. Since EVP_PKEY_get1_RSA_APIParam_1 EVP_PKEY_set1_engine_APIParam_1 EVP_PKEY_assign_DSA_APIParam_1 EVP_PKEY_get1_DH_APIParam_1 EVP_PKEY_assign_DH_APIParam_1 EVP_PKEY_get0_hmac_APIParam_1 EVP_PKEY_get0_poly1305_APIParam_1 EVP_PKEY_get0_engine_APIParam_1 EVP_PKEY_assign_SIPHASH_APIParam_1 EVP_PKEY_get0_RSA_APIParam_1 EVP_PKEY_get0_EC_KEY_APIParam_1 EVP_PKEY_set1_RSA_APIParam_1 EVP_PKEY_id_APIParam_1 EVP_PKEY_set1_DH_APIParam_1 EVP_PKEY_set1_EC_KEY_APIParam_1 EVP_PKEY_get0_siphash_APIParam_1 EVP_PKEY_get1_DSA_APIParam_1 EVP_PKEY_get0_DSA_APIParam_1 EVP_PKEY_assign_POLY1305_APIParam_1 EVP_PKEY_set_alias_type_APIParam_1 EVP_PKEY_get1_EC_KEY_APIParam_1 EVP_PKEY_base_id_APIParam_1 EVP_PKEY_set1_DSA_APIParam_1 EVP_PKEY_assign_RSA_APIParam_1 EVP_PKEY_assign_EC_KEY_APIParam_1 EVP_PKEY_get0_DH_APIParam_1 is now opaque this is no longer possible: the equivalent is EVP_PKEY_base_id(pkey).
8,8,the client must still use the same SSLv3 .1 = TLSv1 announcement,,,null,In this case the client must still use the same SSLv3.1=TLSv1 announcement.,"During the client key exchange, the client must send the same information about acceptable SSL/TLS protocol levels as during the first hello. Some clients violate this rule by adapting to the server's answer. (Example: the client sends a SSLv2 hello and accepts up to SSLv3.1=TLSv1, the server only understands up to SSLv3. In this case the client must still use the same SSLv3.1=TLSv1 announcement. Some clients step down to SSLv3 with respect to the server's answer and violate the version rollback protection.)"
8,7,The SSLv3 protocol is deprecated and should not be used,,,null,The SSLv3 protocol is deprecated and should not be used.,A TLS/SSL connection established with these methods will only understand the SSLv3 protocol. A client will send out SSLv3 client hello messages and will indicate that client only understands SSLv3. A server will only understand SSLv3 client hello messages. The SSLv3 protocol is deprecated and should not be used.
8,8,The contents of a signed receipt should only be considered meaningful,,,if the corresponding CMS_ContentInfo structure can be successfully verified using CMS_verify_APIName,The contents of a signed receipt should only be considered meaningful if the corresponding CMS_ContentInfo structure can be successfully verified using CMS_verify_APIName.,The contents of a signed receipt should only be considered meaningful if the corresponding CMS_ContentInfo structure can be successfully verified using CMS_verify_APIName.
8,8,"SSLv2 does not support a shutdown alert protocol , so SSLv2 can only be detected , whether the underlying connection was closed",,,null,"SSLv2 (deprecated) does not support a shutdown alert protocol, so SSLv2 can only be detected, whether the underlying connection was closed.","SSLv2 (deprecated) does not support a shutdown alert protocol, so SSLv2 can only be detected, whether the underlying connection was closed. SSLv2 cannot be checked, whether the closure was initiated by the peer or by something else."
8,8,no certificates added using SSL_CTX_add_extra_chain_cert_APIName will be used,,,If any certificates are added using these functions,"If any certificates are added using these functions ,no certificates added using SSL_CTX_add_extra_chain_cert_APIName will be used.","If any certificates are added using these functions ,no certificates added using SSL_CTX_add_extra_chain_cert_APIName will be used."
8,8,the SSL engine must know whether the SSL engine must call the connect or accept routines,,,When beginning a new handshake,"When beginning a new handshake, the SSL engine must know whether the SSL engine must call the connect (client) or accept (server) routines.","When beginning a new handshake, the SSL engine must know whether the SSL engine must call the connect (client) or accept (server) routines. Even though the SSL engine may be clear from the method chosen, whether client or server mode was requested, the handshake routines must be explicitly set."
8,8,"Callers that only have `` const '' access to data they 're indexing in a table , yet declare callbacks without constant types , are creating their own risks/bugs without being encouraged to do so by the API",,,null,"Callers that only have ""const"" access to data they're indexing in a table, yet declare callbacks without constant types (or cast the ""const"" away themselves), are therefore creating their own risks/bugs without being encouraged to do so by the API.","Callers that only have ""const"" access to data they're indexing in a table, yet declare callbacks without constant types (or cast the ""const"" away themselves), are therefore creating their own risks/bugs without being encouraged to do so by the API. On a related note, those auditing code should pay special attention to any instances of DECLARE/IMPLEMENT_LHASH_DOALL_[ARG_]_FN macros that provide types without any ""const"" qualifiers."
8,7,the extension type must not be handled by OpenSSL internally or an error occurs,,,null,In both cases the extension type must not be handled by OpenSSL internally or an error occurs.,In both cases the extension type must not be handled by OpenSSL internally or an error occurs.
8,7,"The OpenSSL error strings should be loaded by calling ERR_load_crypto_strings_APIName or , for SSL applications , SSL_load_error_strings_APIName first",,,null,"The OpenSSL error strings should be loaded by calling ERR_load_crypto_strings_APIName or, for SSL applications, SSL_load_error_strings_APIName first.","The OpenSSL error strings should be loaded by calling ERR_load_crypto_strings_APIName or, for SSL applications, SSL_load_error_strings_APIName first. If there is no text string registered for the given error code, the error string will contain the numeric code."
8,7,"In new applications , SHA-1 or RIPEMD-160 should be preferred",,,null,"In new applications, SHA-1 or RIPEMD-160 should be preferred.","MD2, MD4, and MD5 are recommended only for compatibility with existing applications. In new applications, SHA-1 or RIPEMD-160 should be preferred."
8,7,"One SSL_SESSION object , regardless of its reference count , must only be used with one SSL_CTX object",,,null,"One SSL_SESSION object, regardless of its reference count, must therefore only be used with one SSL_CTX object (and the SSL objects created from this SSL_CTX object).","SSL_SESSION objects keep internal link information about the session cache list, when being inserted into one SSL_CTX object's session cache. One SSL_SESSION object, regardless of its reference count, must therefore only be used with one SSL_CTX object (and the SSL objects created from this SSL_CTX object)."
8,7,Applications which included workarounds for this bug should be modified to handle this fix or they may free up an already freed BIO,,,null,Applications which included workarounds for this bug (eg freeing BIOs more than once) should be modified to handle this fix or they may free up an already freed BIO.,"In OpenSSL versions before 1.0.0 the BIO_pop_APIName call was handled incorrectly, the I/O BIO reference count was incorrectly incremented (instead of decremented) and dissociated with the SSL BIO even if the SSL BIO was not explicitly being popped (eg a pop higher up the chain). Applications which included workarounds for this bug (eg freeing BIOs more than once) should be modified to handle this fix or they may free up an already freed BIO."
8,7,This mode should only be used to implement cryptographically sound padding modes in the application code,,,null,This mode should only be used to implement cryptographically sound padding modes in the application code,Raw RSA encryption. This mode should only be used to implement cryptographically sound padding modes in the application code. Encrypting user data directly with RSA is insecure.
8,7,"This kind of reference can be considered a specialised form of structural reference , - however to avoid difficult-to-find programming bugs , it is recommended to treat the two kinds of reference independently",,,null,"This kind of reference can be considered a specialised form of structural reference , - however to avoid difficult-to-find programming bugs , it is recommended to treat the two kinds of reference independently","However, a structural reference provides no guarantee that the ENGINE is initialised and able to use any of its cryptographic implementations. Indeed it's quite possible that most ENGINEs will not initialise at all in typical environments, as ENGINEs are typically used to support specialised hardware. To use an ENGINE's functionality, you need a functional reference. This kind of reference can be considered a specialised form of structural reference, because each functional reference implicitly contains a structural reference as well - however to avoid difficult-to-find programming bugs, it is recommended to treat the two kinds of reference independently. If you have a functional reference to an ENGINE, you have a guarantee that the ENGINE has been initialised and is ready to perform cryptographic operations, and will remain initialised until after you have released your reference."
8,7,nid_key and nid_cert are the encryption algorithms that should be used for the key and certificate respectively,,,null,nid_key and nid_cert are the encryption algorithms that should be used for the key and certificate respectively,nid_key and nid_cert are the encryption algorithms that should be used for the key and certificate respectively. iter is the encryption algorithm iteration count to use and mac_iter is the MAC iteration count to use. keytype is the type of key.
8,7,The dynamic parent structure members should not be accessed,,,null,The dynamic parent structure members should not be accessed,free_func() is called when a structure is being freed up. The dynamic parent structure members should not be accessed because The dynamic parent structure members will be freed up when this function is called.
8,7,use SSL_CIPHER_description instead,,,null,"In some cases it should possibly return ""TLSv1.2"" but does not; use SSL_CIPHER_description() instead","SSL_CIPHER_get_version() returns string which indicates the SSL/TLS protocol version that first defined the cipher. This is currently SSLv2 or TLSv1/SSLv3. In some cases it should possibly return ""TLSv1.2"" but does not; use SSL_CIPHER_description() instead. If SSL_CIPHER_get_version_APIParam_1 SSL_CIPHER_description_APIParam_1 is NULL, ""(NONE)"" is returned."
8,7,Applications usually will not need to modify the embedded content as it is normally set by higher level functions,,,null,Applications usually will not need to modify the embedded content as it is normally set by higher level functions,"*pconf could be NULL if there is no embedded content. Applications can access, modify or create the embedded content in a CMS_get0_type_APIParam_1 CMS_set1_eContentType_APIParam_1 CMS_get0_content_APIParam_1 CMS_get0_eContentType_APIParam_1 structure using this function. Applications usually will not need to modify the embedded content as it is normally set by higher level functions."
8,7,The equivalent with BIOs should not be used and may block as a result,,,null,The equivalent with BIOs on the underlying I/O structure and then call BIO_read to read the data -RRB- should not be used and may block as a result,"One technique sometimes used with blocking sockets is to use a system call (such as select(), poll() or equivalent) to determine when data is available and then call read() to read the data. The equivalent with BIOs (that is call select() on the underlying I/O structure and then call BIO_read() to read the data) should not be used because a single call to BIO_read() can cause several reads (and writes in the case of SSL BIOs) on the underlying I/O structure and may block as a result. Instead select() (or equivalent) should be combined with non blocking I/O so successive reads will request a retry instead of blocking."
8,7,"The files are looked up by the CA subject name hash value , which must hence be available",,,null,"The files are looked up by the CA subject name hash value, which must hence be available","If CApath is not NULL, it points to a directory containing CA certificates in PEM format. The files each contain one CA certificate. The files are looked up by the CA subject name hash value, which must hence be available. If more than one CA certificate with the same name hash value exist, the extension must be different (eg 9d66eef0.0, 9d66eef0.1 etc). The search is performed in the ordering of the extension number, regardless of other properties of the certificates. Use the c_rehash utility to create the necessary links."
8,7,"EC_METHOD_get_field_type identifies what type of field the EC_METHOD structure supports , which will be either F2 ^ m or Fp",,,null,"EC_METHOD_get_field_type identifies what type of field the EC_METHOD structure supports, which will be either F2^m or Fp","EC_METHOD_get_field_type identifies what type of field the EC_METHOD structure supports, which will be either F2^m or Fp. If the field type is Fp then the value NID_X9_62_prime_field is returned. If the field type is F2^m, then the value NID_X9_62_characteristic_two_field is returned. These values are defined in the obj_mac.h header file."
8,7,make sure that you also disable either all previous or all subsequent protocol versions,,,when disabling a protocol,"Clients should avoid creating ""holes"" in the set of protocols Clients support, when disabling a protocol, make sure that you also disable either all previous or all subsequent protocol versions","The list of protocols available can be further limited using the SSL_OP_NO_SSLv2, SSL_OP_NO_SSLv3, SSL_OP_NO_TLSv1, SSL_OP_NO_TLSv1_1 and SSL_OP_NO_TLSv1_2 options of the SSL_CTX_set_options(3) or SSL_set_options(3) functions. Clients should avoid creating ""holes"" in the set of protocols Clients support, when disabling a protocol, make sure that you also disable either all previous or all subsequent protocol versions. In clients, when a protocol version is disabled without disabling all previous protocol versions, the effect is to also disable all subsequent protocol versions."
8,7,Clients should avoid creating `` holes '' in the set of protocols Clients support,,,null,"Clients should avoid creating ""holes"" in the set of protocols Clients support, when disabling a protocol, make sure that you also disable either all previous or all subsequent protocol versions","The list of protocols available can be further limited using the SSL_OP_NO_SSLv2, SSL_OP_NO_SSLv3, SSL_OP_NO_TLSv1, SSL_OP_NO_TLSv1_1 and SSL_OP_NO_TLSv1_2 options of the SSL_CTX_set_options(3) or SSL_set_options(3) functions. Clients should avoid creating ""holes"" in the set of protocols Clients support, when disabling a protocol, make sure that you also disable either all previous or all subsequent protocol versions. In clients, when a protocol version is disabled without disabling all previous protocol versions, the effect is to also disable all subsequent protocol versions."
8,4,An application just needs to add them,,,if An application needs to lookup algorithms,An application just needs to add them if An application (or any of the functions it calls) needs to lookup algorithms.,"An application does not need to add algorithms to use them explicitly, for example by EVP_sha1_APIName. An application just needs to add them if An application (or any of the functions it calls) needs to lookup algorithms."
8,4,one should obtain a new reference,,,when making copies of an ENGINE pointer if the copies will be used independently,one should obtain a new reference when making copies of an ENGINE pointer if the copies will be used (and released) independently.,"Due to the modular nature of the ENGINE API, pointers to ENGINEs need to be treated as handles - ie not only as pointers, but also as references to the underlying ENGINE object. Ie. one should obtain a new reference when making copies of an ENGINE pointer if the copies will be used (and released) independently."
8,4,Do not use the TLSv1 protocol,,1,null,Do not use the TLSv1 protocol.,Do not use the TLSv1 protocol.
8,4,The auto allocation feature only works on OpenSSL 0.9.7 and later,,1,null,The auto allocation feature (setting buf to NULL) only works on OpenSSL 0.9.7 and later.,The auto allocation feature (setting buf to NULL) only works on OpenSSL 0.9.7 and later. Attempts to use it on earlier versions will typically cause a segmentation violation.
8,4,"New programs should prefer the `` new '' style , whilst the `` old '' style is provided for backwards compatibility purposes",,,null,"New programs should prefer the ""new"" style, whilst the ""old"" style is provided for backwards compatibility purposes.","BN_GENCB_call calls the callback function held in the BN_is_prime_ex_APIParam_4 BN_GENCB_call_APIParam_1 structure and passes the ints BN_is_prime_fasttest_APIParam_1 BN_GENCB_call_APIParam_2 and BN_GENCB_call_APIParam_3 as arguments. There are two types of BN_is_prime_ex_APIParam_4 BN_GENCB_call_APIParam_1 structure that are supported: ""new"" style and ""old"" style. New programs should prefer the ""new"" style, whilst the ""old"" style is provided for backwards compatibility purposes."
8,4,a SSL_read_APIName or SSL_write_APIName would return with -1 and indicate the need to retry with SSL_ERROR_WANT_READ,1,,If a renegotiation take place during normal operation,"If a renegotiation take place during normal operation, a SSL_read_APIName or SSL_write_APIName would return with -1 and indicate the need to retry with SSL_ERROR_WANT_READ.","Never bother the application with retries if the transport is blocking. If a renegotiation take place during normal operation, a SSL_read_APIName or SSL_write_APIName would return with -1 and indicate the need to retry with SSL_ERROR_WANT_READ. In a non-blocking environment applications must be prepared to handle incomplete read/write operations. In a blocking environment, applications are not always prepared to deal with read/write operations returning without success report. The flag SSL_MODE_AUTO_RETRY will cause read/write operations to only return after the handshake and successful completion."
8,4,The SSLv2 and SSLv3 protocols are deprecated and should generally not be used,,,null,The SSLv2 and SSLv3 protocols are deprecated and should generally not be used,"The SSLv2 and SSLv3 protocols are deprecated and should generally not be used. Applications should typically use SSL_CTX_set_options(3) in combination with the SSL_OP_NO_SSLv3 flag to disable negotiation of SSLv3 via the above version-flexible SSL/TLS methods. The SSL_OP_NO_SSLv2 option is set by default, and would need to be cleared via SSL_CTX_clear_options(3) in order to enable negotiation of SSLv2."
8,2,Do not use the SSLv2 protocol,,,null,Do not use the SSLv2 protocol,Do not use the SSLv2 protocol. As of OpenSSL 1.0.2g the SSL_OP_NO_SSLv2 option is set by default.
8,2,The verify_callback function must be supplied by the application and receives two arguments,,,null,"The verify_callback function must be supplied by the application and receives two arguments: verify_callback_APIParam_1 indicates, whether the verification of the certificate in question was passed (preverify_ok=1) or not (preverify_ok=0)","The verify_callback function is used to control the behaviour when the SSL_VERIFY_PEER flag is set. The verify_callback function must be supplied by the application and receives two arguments: verify_callback_APIParam_1 indicates, whether the verification of the certificate in question was passed (preverify_ok=1) or not (preverify_ok=0). verify_callback_APIParam_2 is a pointer to the complete context used for the certificate chain verification."
8,2,"""0"" has to be returned and no certificate will be sent",1,,"If no certificate should be set,","If no certificate should be set, ""0"" has to be returned and no certificate will be sent","client_cert_cb() is the application defined callback. If it wants to set a certificate, a certificate/private key combination must be set using the x509 and pkey arguments and ""1"" must be returned. The certificate will be installed into ssl, see the NOTES and BUGS sections. If no certificate should be set, ""0"" has to be returned and no certificate will be sent. A negative return value will suspend the handshake and the handshake function will return immediately. SSL_get_error(3) will return SSL_ERROR_WANT_X509_LOOKUP to indicate, that the handshake was suspended. The next call to the handshake function will again lead to the call of client_cert_cb(). It is the job of the client_cert_cb() to store information about the state of the last call, if required to continue."
8,2,the extension must be different,,,If more than one CA certificate with the same name hash value exist,"If more than one CA certificate with the same name hash value exist, the extension must be different (eg 9d66eef0.0, 9d66eef0.1 etc)","If CApath is not NULL, it points to a directory containing CA certificates in PEM format. The files each contain one CA certificate. The files are looked up by the CA subject name hash value, which must hence be available. If more than one CA certificate with the same name hash value exist, the extension must be different (eg 9d66eef0.0, 9d66eef0.1 etc). The search is performed in the ordering of the extension number, regardless of other properties of the certificates. Use the c_rehash utility to create the necessary links."
8,2,func should be of type LHASH_DOALL_ARG_FN_TYPE,,,null,lh_<type>_doall_arg() is the same as lh_<type>_doall() except that func will be called with arg as the second argument and func should be of type LHASH_DOALL_ARG_FN_TYPE (a callback prototype that is passed both the table entry and an extra argument),"lh_<type>_doall_arg() is the same as lh_<type>_doall() except that func will be called with arg as the second argument and func should be of type LHASH_DOALL_ARG_FN_TYPE (a callback prototype that is passed both the table entry and an extra argument). As with lh_doall(), you can instead choose to declare your callback with a prototype matching the types you are dealing with and use the declare/implement macros to create compatible wrappers that cast variables before calling your type-specific callbacks. An example of this is demonstrated here (printing all hash table entries to a BIO that is provided by the caller):"
8,2,It is the job of the client_cert_cb to store information about the state of the last call,,,if required to continue,"It is the job of the client_cert_cb() to store information about the state of the last call, if required to continue","client_cert_cb() is the application defined callback. If it wants to set a certificate, a certificate/private key combination must be set using the x509 and pkey arguments and ""1"" must be returned. The certificate will be installed into ssl, see the NOTES and BUGS sections. If no certificate should be set, ""0"" has to be returned and no certificate will be sent. A negative return value will suspend the handshake and the handshake function will return immediately. SSL_get_error(3) will return SSL_ERROR_WANT_X509_LOOKUP to indicate, that the handshake was suspended. The next call to the handshake function will again lead to the call of client_cert_cb(). It is the job of the client_cert_cb() to store information about the state of the last call, if required to continue."
8,1,"The verification callback can be used to customise the operation of certificate verification , either by overriding error conditions or logging errors for debugging purposes",,,null,"The verification callback can be used to customise the operation of certificate verification, either by overriding error conditions or logging errors for debugging purposes.","The verification callback can be used to customise the operation of certificate verification, either by overriding error conditions or logging errors for debugging purposes."
8,1,Some old `` export grade '' clients may only support weak encryption using 40 or 64 bit RC2,,,null,"Some old ""export grade"" clients may only support weak encryption using 40 or 64 bit RC2.","Some old ""export grade"" clients may only support weak encryption using 40 or 64 bit RC2. These can be used by passing EVP_rc2_40_cbc_APIName and EVP_rc2_64_cbc_APIName respectively."
8,-1,Any code mixing the two will not work on all platforms,,,null,Any code mixing the two will not work on all platforms.,"The reason for having separate file descriptor and socket BIOs is that on some platforms sockets are not file descriptors and use distinct I/O routines, Windows is one such platform. Any code mixing the two will not work on all platforms."
8,-1,You might have to do the latter,1,,"if target OpenSSL application is executed on SSE2 capable CPU, but under control of OS that does not enable XMM registers.","You might have to do the latter if target OpenSSL application is executed on SSE2 capable CPU, but under control of OS that does not enable XMM registers.","For example, clearing bit #26 at run-time disables high-performance SSE2 code present in the crypto library, while clearing bit #24 disables SSE2 code operating on 128-bit XMM register bank. You might have to do the latter if target OpenSSL application is executed on SSE2 capable CPU, but under control of OS that does not enable XMM registers. Even though you can manipulate the value programmatically, you most likely will find the value more appropriate to set up an environment variable with the same name prior starting target application, eg on Intel P4 processor 'env OPENSSL_ia32cap=0x16980010 apps/openssl', or better yet 'env OPENSSL_ia32cap=~0x1000000 apps/openssl' to achieve same effect without modifying the application source code. Alternatively you can reconfigure the toolkit with no-sse2 option and recompile."
8,-1,the caller can either cast the `` const '' away or use the macros to declare/implement the wrapper functions without `` const '' types,,1,If so,"If so, the caller can either cast the ""const"" away (if they're providing the raw callbacks themselves) or use the macros to declare/implement the wrapper functions without ""const"" types.","As an example, a hash table may be maintained by code that, for reasons of encapsulation, has only ""const"" access to the data being indexed in the hash table (ie it is returned as ""const"" from elsewhere in their code) - in this case the LHASH prototypes are appropriate as-is. Conversely, if the caller is responsible for the life-time of the data in question, then they may well wish to make modifications to table item passed back in the lh_doall_APIName or lh_doall_arg_APIName callbacks (see the ""STUFF_cleanup"" example above). If so, the caller can either cast the ""const"" away (if they're providing the raw callbacks themselves) or use the macros to declare/implement the wrapper functions without ""const"" types."
8,-1,the curve_name must also be set,,,If set,"If set ,then the curve_name must also be set.","The asn1_flag value on a curve is used to determine whether there is a specific ASN1 OID to describe the curve or not. If the asn1_flag is 1 ,then this is a named curve with an associated ASN1 OID. If not ,then asn1_flag is 0. The functions EC_GROUP_get_asn1_flag and EC_GROUP_set_asn1_flag get and set the status of the asn1_flag for the curve. If set ,then the curve_name must also be set."
8,-1,For other types of BIO they may not be supported,,,null,For other types of BIO they may not be supported.,The return values of BIO_pending_APIName and BIO_wpending_APIName may not reliably determine the amount of pending data in all cases. For example in the case of a file BIO some data may be available in the FILE structures internal buffers but it is not possible to determine this in a portably way. For other types of BIO they may not be supported.
8,-1,the number of checks needs to be much higher to reach the same level of assurance,,,When the source of the prime is not random or not trusted,"When the source of the prime is not random or not trusted, the number of checks needs to be much higher to reach the same level of assurance: It should equal half of the targeted security level in bits (rounded up to the next integer if necessary).","When the source of the prime is not random or not trusted, the number of checks needs to be much higher to reach the same level of assurance: It should equal half of the targeted security level in bits (rounded up to the next integer if necessary). For instance, to reach the 128 bit security level, BN_is_prime_ex_APIParam_2 BN_is_prime_fasttest_ex_APIParam_2 should be set to 64."
8,-1,The extensions must be concatenated into a sequence of bytes,,,null,The extensions must be concatenated into a sequence of bytes.,"SSL_CTX_use_serverinfo_APIName loads one or more serverinfo extensions from a byte array into SSL_CTX_use_serverinfo_APIParam_1. The extensions must be concatenated into a sequence of bytes. Each extension must consist of a 2-byte Extension Type, a 2-byte length, and then length bytes of extension_data."
8,-1,This can lead to unexpected behaviour,,0,if the SSL_VERIFY_PEER and SSL_VERIFY_NONE are not used as required,"This can lead to unexpected behaviour, if the SSL_VERIFY_PEER and SSL_VERIFY_NONE are not used as required (exactly one must be set at any time).","In client mode, it is not checked whether the SSL_VERIFY_PEER flag is set, but whether SSL_VERIFY_NONE is not set. This can lead to unexpected behaviour, if the SSL_VERIFY_PEER and SSL_VERIFY_NONE are not used as required (exactly one must be set at any time)."
8,-1,"a new session is assigned a timeout value, after which a new session will not be accepted for session reuse.",1,,Whenever a new session is negotiated,"Whenever a new session is negotiated, a new session is assigned a timeout value, after which a new session will not be accepted for session reuse.","Whenever a new session is negotiated, a new session is assigned a timeout value, after which a new session will not be accepted for session reuse. If the timeout value was not explicitly set using SSL_CTX_set_timeout_APIName , the hardcoded default timeout for the protocol will be used."
8,-1,Newer applications should just call,,,null,Newer applications should just call:,The functions SSL_CTX_set_ecdh_auto_APIName and SSL_set_ecdh_auto_APIName can be used to make a server always choose the most appropriate curve for a client. If set it will override any temporary ECDH parameters set by a server. Previous versions of OpenSSL could effectively only use a single ECDH curve set using a function such as SSL_CTX_set_ecdh_tmp_APIName. Newer applications should just call:
8,-1,This should never happen,,,null,This should never happen.,The read state is unknown. This should never happen.
