If the threading mode is Single-thread or Multi-thread this routine returns a NULL pointer,null,If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.,This interface returns a pointer the sqlite3_mutex object that serializes access to the database connection given in the argument when the threading mode is Serialized.If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.
sqlite3_status_APIName and sqlite3_db_status_APIName,null,See also: sqlite3_status_APIName and sqlite3_db_status_APIName.,See also: sqlite3_status_APIName and sqlite3_db_status_APIName.
Each prepared statement maintains various SQLITE_STMTSTATUS counters that measure the number of times it has performed specific operations,null,Each prepared statement maintains various SQLITE_STMTSTATUS counters that measure the number of times it has performed specific operations.,"Each prepared statement maintains various SQLITE_STMTSTATUS counters that measure the number of times it has performed specific operations.These counters can be used to monitor the performance characteristics of the prepared statements.For example, if the number of table steps greatly exceeds the number of table searches or result rows, that would tend to indicate that the prepared statement is using a full table scan rather than an index."
The second argument is an integer code for a specific SQLITE_STMTSTATUS counter to be interrogated,null,The second argument is an integer code for a specific SQLITE_STMTSTATUS counter to be interrogated.,"This interface is used to retrieve and reset counter values from a prepared statement.The first argument is the prepared statement object to be interrogated.The second argument is an integer code for a specific SQLITE_STMTSTATUS counter to be interrogated.The current value of the requested counter be returned by sqlite3_stmt_status_APIName.If the sqlite3_stmt_status_APIParam_3 is true, then the counter is reset to zero after this interface call returns."
This interface returns a pointer the sqlite3_mutex object that serializes access to the database connection given in the argument when the threading mode is Serialized,null,This interface returns a pointer the sqlite3_mutex object that serializes access to the database connection given in the argument when the threading mode is Serialized.,This interface returns a pointer the sqlite3_mutex object that serializes access to the database connection given in the argument when the threading mode is Serialized.If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.
These routines return information about a single column of the current result row of a query,null,These routines return information about a single column of the current result row of a query.,These routines return information about a single column of the current result row of a query.In every case sqlite3_column_int_APIParam_1 is a pointer to the prepared statement that is being evaluated (the sqlite3_stmt* that be returned by sqlite3_column_int_APIName from sqlite3_prepare_v2_APIName or one of its variants) and sqlite3_column_int_APIParam_2 is the index of the column for which information should be returned.The leftmost column of the result set has the index 0.The number of columns in the result can be determined using sqlite3_column_count_APIName.
The sqlite3_set_last_insert_rowid method allows the application to set the value returned by calling sqlite3_last_insert_rowid_APIName to R without inserting a row into the database,null,"The sqlite3_set_last_insert_rowid(D, R) method allows the application to set the value returned by calling sqlite3_last_insert_rowid_APIName to R without inserting a row into the database.","The sqlite3_set_last_insert_rowid(D, R) method allows the application to set the value returned by calling sqlite3_last_insert_rowid_APIName to R without inserting a row into the database."
The leftmost column of the result set has the index 0,null,The leftmost column of the result set has the index 0.,These routines return information about a single column of the current result row of a query.In every case sqlite3_column_int_APIParam_1 is a pointer to the prepared statement that is being evaluated (the sqlite3_stmt* that be returned by sqlite3_column_int_APIName from sqlite3_prepare_v2_APIName or one of its variants) and sqlite3_column_int_APIParam_2 is the index of the column for which information should be returned.The leftmost column of the result set has the index 0.The number of columns in the result can be determined using sqlite3_column_count_APIName.
The first six interfaces  each return the value of a result column in a specific data format,null,"The first six interfaces (_blob, _double, _int, _int64, _text, and _text16) each return the value of a result column in a specific data format.","The first six interfaces (_blob, _double, _int, _int64, _text, and _text16) each return the value of a result column in a specific data format.If the result column is not initially in the requested format (for example, if the query returns an integer but the sqlite3_column_text_APIName interface is used to extract the value) then an automatic type conversion is performed."
The number of columns in the result can be determined using sqlite3_column_count_APIName,null,The number of columns in the result can be determined using sqlite3_column_count_APIName.,These routines return information about a single column of the current result row of a query.In every case sqlite3_column_int_APIParam_1 is a pointer to the prepared statement that is being evaluated (the sqlite3_stmt* that be returned by sqlite3_column_int_APIName from sqlite3_prepare_v2_APIName or one of its variants) and sqlite3_column_int_APIParam_2 is the index of the column for which information should be returned.The leftmost column of the result set has the index 0.The number of columns in the result can be determined using sqlite3_column_count_APIName.
The sqlite3_column_type_APIName routine returns the datatype code for the initial data type of the result column,null,The sqlite3_column_type_APIName routine returns the datatype code for the initial data type of the result column.,"The sqlite3_column_type_APIName routine returns the datatype code for the initial data type of the result column.sqlite3_column_type_APIParam_0 is one of SQLITE_INTEGER_API_constant, SQLITE_FLOAT_API_constant, SQLITE_TEXT_API_constant, SQLITE_BLOB_API_constant, or SQLITE_NULL_API_constant.The return value of sqlite3_column_type_APIName can be used to decide which of the first six interface should be used to extract the column value.The value returned by sqlite3_column_type_APIName is only meaningful if no automatic type conversions have occurred for the value in question.After a type conversion, the result of calling sqlite3_column_type_APIName is undefined, though harmless.Future versions of SQLite may change the behavior of sqlite3_column_type_APIName following a type conversion."
These routines may only be called when the most recent call to sqlite3_step_APIName has returned SQLITE_ROW_API_constant and neither sqlite3_reset_APIName nor sqlite3_finalize_APIName have been called subsequently,null,These routines may only be called when the most recent call to sqlite3_step_APIName has returned SQLITE_ROW_API_constant and neither sqlite3_reset_APIName nor sqlite3_finalize_APIName have been called subsequently.,"If the SQL statement does not currently point to a valid row, or if the column index is out of range, the result is undefined.These routines may only be called when the most recent call to sqlite3_step_APIName has returned SQLITE_ROW_API_constant and neither sqlite3_reset_APIName nor sqlite3_finalize_APIName have been called subsequently.If any of these routines are called after sqlite3_reset_APIName or sqlite3_finalize_APIName or after sqlite3_step_APIName has returned something other than SQLITE_ROW_API_constant, the results are undefined.If sqlite3_step_APIName or sqlite3_reset_APIName or sqlite3_finalize_APIName are called from a different thread while any of these routines are pending, then the results are undefined."
"If any of these routines are called after sqlite3_reset_APIName or sqlite3_finalize_APIName or after sqlite3_step_APIName has returned something other than SQLITE_ROW_API_constant, the results are undefined",null,"If any of these routines are called after sqlite3_reset_APIName or sqlite3_finalize_APIName or after sqlite3_step_APIName has returned something other than SQLITE_ROW_API_constant, the results are undefined.","If the SQL statement does not currently point to a valid row, or if the column index is out of range, the result is undefined.These routines may only be called when the most recent call to sqlite3_step_APIName has returned SQLITE_ROW_API_constant and neither sqlite3_reset_APIName nor sqlite3_finalize_APIName have been called subsequently.If any of these routines are called after sqlite3_reset_APIName or sqlite3_finalize_APIName or after sqlite3_step_APIName has returned something other than SQLITE_ROW_API_constant, the results are undefined.If sqlite3_step_APIName or sqlite3_reset_APIName or sqlite3_finalize_APIName are called from a different thread while any of these routines are pending, then the results are undefined."
"sqlite3_column_type_APIParam_0 is one of SQLITE_INTEGER_API_constant , SQLITE_FLOAT_API_constant , SQLITE_TEXT_API_constant , SQLITE_BLOB_API_constant , or SQLITE_NULL_API_constant",null,"sqlite3_column_type_APIParam_0 is one of SQLITE_INTEGER_API_constant, SQLITE_FLOAT_API_constant, SQLITE_TEXT_API_constant, SQLITE_BLOB_API_constant, or SQLITE_NULL_API_constant.","The sqlite3_column_type_APIName routine returns the datatype code for the initial data type of the result column.sqlite3_column_type_APIParam_0 is one of SQLITE_INTEGER_API_constant, SQLITE_FLOAT_API_constant, SQLITE_TEXT_API_constant, SQLITE_BLOB_API_constant, or SQLITE_NULL_API_constant.The return value of sqlite3_column_type_APIName can be used to decide which of the first six interface should be used to extract the column value.The value returned by sqlite3_column_type_APIName is only meaningful if no automatic type conversions have occurred for the value in question.After a type conversion, the result of calling sqlite3_column_type_APIName is undefined, though harmless.Future versions of SQLite may change the behavior of sqlite3_column_type_APIName following a type conversion."
In every case sqlite3_column_int_APIParam_1 is a pointer to the prepared statement that is being evaluated and sqlite3_column_int_APIParam_2 is the index of the column,null,In every case sqlite3_column_int_APIParam_1 is a pointer to the prepared statement that is being evaluated and sqlite3_column_int_APIParam_2 is the index of the column  .,These routines return information about a single column of the current result row of a query.In every case sqlite3_column_int_APIParam_1 is a pointer to the prepared statement that is being evaluated (the sqlite3_stmt* that be returned by sqlite3_column_int_APIName from sqlite3_prepare_v2_APIName or one of its variants) and sqlite3_column_int_APIParam_2 is the index of the column for which information should be returned.The leftmost column of the result set has the index 0.The number of columns in the result can be determined using sqlite3_column_count_APIName.
The value returned by sqlite3_column_type_APIName is only meaningful if no automatic type conversions have occurred for the value in question,null,The value returned by sqlite3_column_type_APIName is only meaningful if no automatic type conversions have occurred for the value in question.,"The sqlite3_column_type_APIName routine returns the datatype code for the initial data type of the result column.sqlite3_column_type_APIParam_0 is one of SQLITE_INTEGER_API_constant, SQLITE_FLOAT_API_constant, SQLITE_TEXT_API_constant, SQLITE_BLOB_API_constant, or SQLITE_NULL_API_constant.The return value of sqlite3_column_type_APIName can be used to decide which of the first six interface should be used to extract the column value.The value returned by sqlite3_column_type_APIName is only meaningful if no automatic type conversions have occurred for the value in question.After a type conversion, the result of calling sqlite3_column_type_APIName is undefined, though harmless.Future versions of SQLite may change the behavior of sqlite3_column_type_APIName following a type conversion."
"If the result is NULL, sqlite3_column_bytes_APIName returns zero",null,"If the result is NULL, then sqlite3_column_bytes_APIName returns zero.","If the result is a BLOB or UTF-8 string then the sqlite3_column_bytes_APIName routine returns the number of bytes in that BLOB or string.If the result is a UTF-16 string, then sqlite3_column_bytes_APIName converts the string to UTF-8 and then returns the number of bytes.If the result is a numeric value then sqlite3_column_bytes_APIName uses sqlite3_snprintf_APIName to convert that value to a UTF-8 string and returns the number of bytes in that string.If the result is NULL, then sqlite3_column_bytes_APIName returns zero."
The return value of sqlite3_column_type_APIName can be used to decide which of the first six interface should be used to extract the column value,null,The return value of sqlite3_column_type_APIName can be used to decide which of the first six interface should be used to extract the column value.,"The sqlite3_column_type_APIName routine returns the datatype code for the initial data type of the result column.sqlite3_column_type_APIParam_0 is one of SQLITE_INTEGER_API_constant, SQLITE_FLOAT_API_constant, SQLITE_TEXT_API_constant, SQLITE_BLOB_API_constant, or SQLITE_NULL_API_constant.The return value of sqlite3_column_type_APIName can be used to decide which of the first six interface should be used to extract the column value.The value returned by sqlite3_column_type_APIName is only meaningful if no automatic type conversions have occurred for the value in question.After a type conversion, the result of calling sqlite3_column_type_APIName is undefined, though harmless.Future versions of SQLite may change the behavior of sqlite3_column_type_APIName following a type conversion."
Future versions of SQLite may change the behavior of sqlite3_column_type_APIName following a type conversion,null,Future versions of SQLite may change the behavior of sqlite3_column_type_APIName following a type conversion.,"The sqlite3_column_type_APIName routine returns the datatype code for the initial data type of the result column.sqlite3_column_type_APIParam_0 is one of SQLITE_INTEGER_API_constant, SQLITE_FLOAT_API_constant, SQLITE_TEXT_API_constant, SQLITE_BLOB_API_constant, or SQLITE_NULL_API_constant.The return value of sqlite3_column_type_APIName can be used to decide which of the first six interface should be used to extract the column value.The value returned by sqlite3_column_type_APIName is only meaningful if no automatic type conversions have occurred for the value in question.After a type conversion, the result of calling sqlite3_column_type_APIName is undefined, though harmless.Future versions of SQLite may change the behavior of sqlite3_column_type_APIName following a type conversion."
"If the result is a UTF-16 string, sqlite3_column_bytes_APIName converts the string to UTF-8 and returns the number of bytes",null,"If the result is a UTF-16 string, then sqlite3_column_bytes_APIName converts the string to UTF-8 and then returns the number of bytes.","If the result is a BLOB or UTF-8 string then the sqlite3_column_bytes_APIName routine returns the number of bytes in that BLOB or string.If the result is a UTF-16 string, then sqlite3_column_bytes_APIName converts the string to UTF-8 and then returns the number of bytes.If the result is a numeric value then sqlite3_column_bytes_APIName uses sqlite3_snprintf_APIName to convert that value to a UTF-8 string and returns the number of bytes in that string.If the result is NULL, then sqlite3_column_bytes_APIName returns zero."
"After a type conversion , the result of calling sqlite3_column_type_APIName is undefined , though harmless",null,"After a type conversion, the result of calling sqlite3_column_type_APIName is undefined, though harmless.","The sqlite3_column_type_APIName routine returns the datatype code for the initial data type of the result column.sqlite3_column_type_APIParam_0 is one of SQLITE_INTEGER_API_constant, SQLITE_FLOAT_API_constant, SQLITE_TEXT_API_constant, SQLITE_BLOB_API_constant, or SQLITE_NULL_API_constant.The return value of sqlite3_column_type_APIName can be used to decide which of the first six interface should be used to extract the column value.The value returned by sqlite3_column_type_APIName is only meaningful if no automatic type conversions have occurred for the value in question.After a type conversion, the result of calling sqlite3_column_type_APIName is undefined, though harmless.Future versions of SQLite may change the behavior of sqlite3_column_type_APIName following a type conversion."
"If the result is NULL, sqlite3_column_bytes16_APIName returns zero",null,"If the result is NULL, then sqlite3_column_bytes16_APIName returns zero.","If the result is a BLOB or UTF-16 string then the sqlite3_column_bytes16_APIName routine returns the number of bytes in that BLOB or string.If the result is a UTF-8 string, then sqlite3_column_bytes16_APIName converts the string to UTF-16 and then returns the number of bytes.If the result is a numeric value then sqlite3_column_bytes16_APIName uses sqlite3_snprintf_APIName to convert that value to a UTF-16 string and returns the number of bytes in that string.If the result is NULL, then sqlite3_column_bytes16_APIName returns zero."
If the result is a BLOB or UTF-8 string the sqlite3_column_bytes_APIName routine returns the number of bytes in that BLOB or string,null,If the result is a BLOB or UTF-8 string then the sqlite3_column_bytes_APIName routine returns the number of bytes in that BLOB or string.,"If the result is a BLOB or UTF-8 string then the sqlite3_column_bytes_APIName routine returns the number of bytes in that BLOB or string.If the result is a UTF-16 string, then sqlite3_column_bytes_APIName converts the string to UTF-8 and then returns the number of bytes.If the result is a numeric value then sqlite3_column_bytes_APIName uses sqlite3_snprintf_APIName to convert that value to a UTF-8 string and returns the number of bytes in that string.If the result is NULL, then sqlite3_column_bytes_APIName returns zero."
"If the result is a UTF-8 string, sqlite3_column_bytes16_APIName converts the string to UTF-16 and returns the number of bytes",null,"If the result is a UTF-8 string, then sqlite3_column_bytes16_APIName converts the string to UTF-16 and then returns the number of bytes.","If the result is a BLOB or UTF-16 string then the sqlite3_column_bytes16_APIName routine returns the number of bytes in that BLOB or string.If the result is a UTF-8 string, then sqlite3_column_bytes16_APIName converts the string to UTF-16 and then returns the number of bytes.If the result is a numeric value then sqlite3_column_bytes16_APIName uses sqlite3_snprintf_APIName to convert that value to a UTF-16 string and returns the number of bytes in that string.If the result is NULL, then sqlite3_column_bytes16_APIName returns zero."
"Strings returned by sqlite3_column_text_APIName and sqlite3_column_text16_APIName, even empty strings, are always zero-terminated",null,"Strings returned by sqlite3_column_text_APIName and sqlite3_column_text16_APIName, even empty strings, are always zero-terminated.","Strings returned by sqlite3_column_text_APIName and sqlite3_column_text16_APIName, even empty strings, are always zero-terminated.The return value from sqlite3_column_blob_APIName for a zero-length BLOB is a NULL pointer."
The return value from sqlite3_column_blob_APIName for a zero-length BLOB is a NULL pointer,null,The return value from sqlite3_column_blob_APIName for a zero-length BLOB is a NULL pointer.,"Strings returned by sqlite3_column_text_APIName and sqlite3_column_text16_APIName, even empty strings, are always zero-terminated.The return value from sqlite3_column_blob_APIName for a zero-length BLOB is a NULL pointer."
The object returned by sqlite3_column_value_APIName is an unprotected sqlite3_value object,null,Warning: The object returned by sqlite3_column_value_APIName is an unprotected sqlite3_value object.,"Warning: The object returned by sqlite3_column_value_APIName is an unprotected sqlite3_value object.In a multithreaded environment, an unprotected sqlite3_value object may only be used safely with sqlite3_bind_value_APIName and sqlite3_result_value_APIName.If the unprotected sqlite3_value object returned by sqlite3_column_value_APIName is used in any other way, including calls to routines like sqlite3_value_int_APIName, sqlite3_value_text_APIName, or sqlite3_value_bytes_APIName, the behavior is not threadsafe.Hence, the sqlite3_column_value_APIName interface is normally only useful within the implementation of application-defined SQL functions or virtual tables, not within top-level application code."
The values returned by sqlite3_column_bytes_APIName and sqlite3_column_bytes16_APIName do not include the zero terminators at the end of the string,null,The values returned by sqlite3_column_bytes_APIName and sqlite3_column_bytes16_APIName do not include the zero terminators at the end of the string.,"The values returned by sqlite3_column_bytes_APIName and sqlite3_column_bytes16_APIName do not include the zero terminators at the end of the string.For clarity: the values returned by sqlite3_column_bytes_APIName and sqlite3_column_bytes16_APIName are the number of bytes in the string, not the number of characters."
or if the column index is out of range,If the SQL statement does not currently point to a valid row,"If the SQL statement does not currently point to a valid row, or if the column index is out of range, the result is undefined.","If the SQL statement does not currently point to a valid row, or if the column index is out of range, the result is undefined.These routines may only be called when the most recent call to sqlite3_step_APIName has returned SQLITE_ROW_API_constant and neither sqlite3_reset_APIName nor sqlite3_finalize_APIName have been called subsequently.If any of these routines are called after sqlite3_reset_APIName or sqlite3_finalize_APIName or after sqlite3_step_APIName has returned something other than SQLITE_ROW_API_constant, the results are undefined.If sqlite3_step_APIName or sqlite3_reset_APIName or sqlite3_finalize_APIName are called from a different thread while any of these routines are pending, then the results are undefined."
the result is undefined,null,"If the SQL statement does not currently point to a valid row, or if the column index is out of range, the result is undefined.","If the SQL statement does not currently point to a valid row, or if the column index is out of range, the result is undefined.These routines may only be called when the most recent call to sqlite3_step_APIName has returned SQLITE_ROW_API_constant and neither sqlite3_reset_APIName nor sqlite3_finalize_APIName have been called subsequently.If any of these routines are called after sqlite3_reset_APIName or sqlite3_finalize_APIName or after sqlite3_step_APIName has returned something other than SQLITE_ROW_API_constant, the results are undefined.If sqlite3_step_APIName or sqlite3_reset_APIName or sqlite3_finalize_APIName are called from a different thread while any of these routines are pending, then the results are undefined."
If the result is a BLOB or UTF-16 string the sqlite3_column_bytes16_APIName routine returns the number of bytes in that BLOB or string,null,If the result is a BLOB or UTF-16 string then the sqlite3_column_bytes16_APIName routine returns the number of bytes in that BLOB or string.,"If the result is a BLOB or UTF-16 string then the sqlite3_column_bytes16_APIName routine returns the number of bytes in that BLOB or string.If the result is a UTF-8 string, then sqlite3_column_bytes16_APIName converts the string to UTF-16 and then returns the number of bytes.If the result is a numeric value then sqlite3_column_bytes16_APIName uses sqlite3_snprintf_APIName to convert that value to a UTF-16 string and returns the number of bytes in that string.If the result is NULL, then sqlite3_column_bytes16_APIName returns zero."
For clarity,null,"For clarity: the values returned by sqlite3_column_bytes_APIName and sqlite3_column_bytes16_APIName are the number of bytes in the string, not the number of characters.","The values returned by sqlite3_column_bytes_APIName and sqlite3_column_bytes16_APIName do not include the zero terminators at the end of the string.For clarity: the values returned by sqlite3_column_bytes_APIName and sqlite3_column_bytes16_APIName are the number of bytes in the string, not the number of characters."
"the values returned by sqlite3_column_bytes_APIName and sqlite3_column_bytes16_APIName are the number of bytes in the string, not the number of characters",null,"For clarity: the values returned by sqlite3_column_bytes_APIName and sqlite3_column_bytes16_APIName are the number of bytes in the string, not the number of characters.","The values returned by sqlite3_column_bytes_APIName and sqlite3_column_bytes16_APIName do not include the zero terminators at the end of the string.For clarity: the values returned by sqlite3_column_bytes_APIName and sqlite3_column_bytes16_APIName are the number of bytes in the string, not the number of characters."
The following table details the conversions that are applied,null,The following table details the conversions that are applied:,"The these routines may attempt to convert the datatype of the result.For example, if the internal representation is FLOAT and a text result is requested, sqlite3_snprintf_APIName is used internally to perform the conversion automatically.The following table details the conversions that are applied:"
an automatic type conversion is performed,If the result column is not initially in the requested format,"If the result column is not initially in the requested format (for example, if the query returns an integer but the sqlite3_column_text_APIName interface is used to extract the value) then an automatic type conversion is performed.","The first six interfaces (_blob, _double, _int, _int64, _text, and _text16) each return the value of a result column in a specific data format.If the result column is not initially in the requested format (for example, if the query returns an integer but the sqlite3_column_text_APIName interface is used to extract the value) then an automatic type conversion is performed."
The these routines may attempt to convert the datatype of the result,null,The these routines may attempt to convert the datatype of the result.,"The these routines may attempt to convert the datatype of the result.For example, if the internal representation is FLOAT and a text result is requested, sqlite3_snprintf_APIName is used internally to perform the conversion automatically.The following table details the conversions that are applied:"
If the result is a numeric value sqlite3_column_bytes_APIName uses sqlite3_snprintf_APIName to convert that value to a UTF-8 string and returns the number of bytes in that string,null,If the result is a numeric value then sqlite3_column_bytes_APIName uses sqlite3_snprintf_APIName to convert that value to a UTF-8 string and returns the number of bytes in that string.,"If the result is a BLOB or UTF-8 string then the sqlite3_column_bytes_APIName routine returns the number of bytes in that BLOB or string.If the result is a UTF-16 string, then sqlite3_column_bytes_APIName converts the string to UTF-8 and then returns the number of bytes.If the result is a numeric value then sqlite3_column_bytes_APIName uses sqlite3_snprintf_APIName to convert that value to a UTF-8 string and returns the number of bytes in that string.If the result is NULL, then sqlite3_column_bytes_APIName returns zero."
"Note that when type conversions occur, pointers returned by prior calls to sqlite3_column_blob_APIName, sqlite3_column_text_APIName, and/or sqlite3_column_text16_APIName may be invalidated",null,"Note that when type conversions occur, pointers returned by prior calls to sqlite3_column_blob_APIName, sqlite3_column_text_APIName, and/or sqlite3_column_text16_APIName may be invalidated.","Note that when type conversions occur, pointers returned by prior calls to sqlite3_column_blob_APIName, sqlite3_column_text_APIName, and/or sqlite3_column_text16_APIName may be invalidated.Type conversions and pointer invalidations might occur in the following cases:"
Type conversions and pointer invalidations might occur in the following cases,null,Type conversions and pointer invalidations might occur in the following cases:,"Note that when type conversions occur, pointers returned by prior calls to sqlite3_column_blob_APIName, sqlite3_column_text_APIName, and/or sqlite3_column_text16_APIName may be invalidated.Type conversions and pointer invalidations might occur in the following cases:"
If the result is a numeric value sqlite3_column_bytes16_APIName uses sqlite3_snprintf_APIName to convert that value to a UTF-16 string and returns the number of bytes in that string,null,If the result is a numeric value then sqlite3_column_bytes16_APIName uses sqlite3_snprintf_APIName to convert that value to a UTF-16 string and returns the number of bytes in that string.,"If the result is a BLOB or UTF-16 string then the sqlite3_column_bytes16_APIName routine returns the number of bytes in that BLOB or string.If the result is a UTF-8 string, then sqlite3_column_bytes16_APIName converts the string to UTF-16 and then returns the number of bytes.If the result is a numeric value then sqlite3_column_bytes16_APIName uses sqlite3_snprintf_APIName to convert that value to a UTF-16 string and returns the number of bytes in that string.If the result is NULL, then sqlite3_column_bytes16_APIName returns zero."
"If the unprotected sqlite3_value object returned by sqlite3_column_value_APIName is used in any other way, including calls to routines like sqlite3_value_int_APIName, sqlite3_value_text_APIName, or sqlite3_value_bytes_APIName, the behavior is not threadsafe",null,"If the unprotected sqlite3_value object returned by sqlite3_column_value_APIName is used in any other way, including calls to routines like sqlite3_value_int_APIName, sqlite3_value_text_APIName, or sqlite3_value_bytes_APIName, the behavior is not threadsafe.","Warning: The object returned by sqlite3_column_value_APIName is an unprotected sqlite3_value object.In a multithreaded environment, an unprotected sqlite3_value object may only be used safely with sqlite3_bind_value_APIName and sqlite3_result_value_APIName.If the unprotected sqlite3_value object returned by sqlite3_column_value_APIName is used in any other way, including calls to routines like sqlite3_value_int_APIName, sqlite3_value_text_APIName, or sqlite3_value_bytes_APIName, the behavior is not threadsafe.Hence, the sqlite3_column_value_APIName interface is normally only useful within the implementation of application-defined SQL functions or virtual tables, not within top-level application code."
The safest policy is to invoke these routines in one of the following ways,null,The safest policy is to invoke these routines in one of the following ways:,The safest policy is to invoke these routines in one of the following ways:
into sqlite3_free_APIName,null,into sqlite3_free_APIName.,"The pointers returned are valid until a type conversion occurs as described above, or until sqlite3_step_APIName or sqlite3_reset_APIName or sqlite3_finalize_APIName is called.The memory space used to hold strings and BLOBs is freed automatically.Do not pass the pointers returned from sqlite3_column_blob_APIName, sqlite3_column_text_APIName, etc.into sqlite3_free_APIName."
"Do not pass the pointers returned from sqlite3_column_blob_APIName, sqlite3_column_text_APIName, etc",null,"Do not pass the pointers returned from sqlite3_column_blob_APIName, sqlite3_column_text_APIName, etc.","The pointers returned are valid until a type conversion occurs as described above, or until sqlite3_step_APIName or sqlite3_reset_APIName or sqlite3_finalize_APIName is called.The memory space used to hold strings and BLOBs is freed automatically.Do not pass the pointers returned from sqlite3_column_blob_APIName, sqlite3_column_text_APIName, etc.into sqlite3_free_APIName."
"In a multithreaded environment , an unprotected sqlite3_value object may only be used safely with sqlite3_bind_value_APIName and sqlite3_result_value_APIName",null,"In a multithreaded environment, an unprotected sqlite3_value object may only be used safely with sqlite3_bind_value_APIName and sqlite3_result_value_APIName.","Warning: The object returned by sqlite3_column_value_APIName is an unprotected sqlite3_value object.In a multithreaded environment, an unprotected sqlite3_value object may only be used safely with sqlite3_bind_value_APIName and sqlite3_result_value_APIName.If the unprotected sqlite3_value object returned by sqlite3_column_value_APIName is used in any other way, including calls to routines like sqlite3_value_int_APIName, sqlite3_value_text_APIName, or sqlite3_value_bytes_APIName, the behavior is not threadsafe.Hence, the sqlite3_column_value_APIName interface is normally only useful within the implementation of application-defined SQL functions or virtual tables, not within top-level application code."
